Aquatic Life,Avg Viz,Bottom Comp,Contact,Entry Type,Fall,Location,Max Depth,Rating,Spring,Summer,Winter
Might See Something,,,,Shore,," Alex Bay, NY",65.5,3.47 by 19,,63,
Plenty To See,,,,Boat,," Purerua Peninsula, New Zealand",85.5,,,,
Might See Something,,,,Boat,," North Stradbroke Island, Queensland, Australia",55.5,5.00 by 2,,,
Plenty To See,,Sand,,Boat,," Brisbane, Queensland, Queensland, Australia",95.5,4.50 by 2,,,
,,,,,," Nelson Bay, New South Wales, Australia",,4.00 by 2,,,
,,,,,," New South Wales, Australia",,,,,
,,,,,," Nelson Bay, New South Wales, Australia",,4.00 by 1,,,
,,,,,," Nelson Bay, New South Wales, Australia",,3.00 by 1,,,
,,,,,," Nelson Bay, New South Wales, Australia",,,,,
,,,,,," Sydney, New South Wales, Australia",,3.75 by 4,,,
Plenty To See,85.5,Coral,,Boat,," Outer Reef, Queensland, Australia",150,4.00 by 4,,,
,,,,,," New South Wales, Australia",,,,,
,,,,,," Bass Point, New South Wales, Australia",,,,,
Might See Something,,Sand,,Shore,," Bass Point, New South Wales, Australia",85.5,3.00 by 2,,,
,,,,,," Bass Point, New South Wales, Australia",,3.50 by 2,,,
,,,,,," Bass Point, New South Wales, Australia",,4.00 by 2,,,
Might See Something,,,,,," Malapascua Island, Visayas, Philippines",,,,,
,,,,Boat,," Malapascua, Visayas, Philippines",150,,,,
Plenty To See,45.5,Sand,,Boat,," Malapascua, Visayas, Philippines",23,4.00 by 2,,,
Might See Something,,Coral,,Shore,," Visayas, Philippines",,4.00 by 1,,,
Plenty To See,45.5,Sand,,Boat,," Malapascua, Visayas, Philippines",95.5,,,,
Plenty To See,45.5,Sand,,Boat,," Malapascua, Visayas, Philippines",95.5,5.00 by 2,,,
Plenty To See,,Sand,,Boat,," Puerto Galera, Oriental Mindoro, Philippines",,4.50 by 14,,,
Plenty To See,,,,Boat,," Bali, Indonesia",,4.50 by 4,,73,
Plenty To See,95.5,Sand,,Boat,83," Karangasem, Bali 80851, Indonesia",145.5,4.50 by 2,83,83,83
Plenty To See,95.5,Sand,6236323400,Shore,," Tulamben, Bali, Indonesia",105.5,4.20 by 20,,,
Might See Something,,,,,," Padang Bai, Bali, Indonesia",,4.33 by 3,,,
,,,,,," Bali, Indonesia",,4.50 by 4,,,
,,,,,, Malaysia,,3.00 by 1,,,
,,,,,, Malaysia,,,,,
,,,,,, Malaysia,,3.00 by 1,,,
,,,,,, Malaysia,,3.00 by 2,,,
,,,,,, Malaysia,,3.00 by 1,,,
,,,,,, Malaysia,,,,,
,,,,,, Malaysia,,5.00 by 1,,,
,,,,,, Malaysia,,4.00 by 1,,,
,,,,,, Malaysia,,5.00 by 1,,,
,,,,,, Singapore,,4.00 by 1,,,
Plenty To See,45.5,Sand,,Boat,," Koh Samui, Thailand",75.5,3.70 by 10,,,
,,,,Boat,, Thailand,,4.11 by 9,,,
,,,,,, Thailand,,4.00 by 4,,,
Plenty To See,33,Sand,,Boat,78," Phuket, Phuket, Thailand",105.5,4.15 by 13,78,78,78
,,,66979243483,,," Phuket, Phuket, Thailand",,3.92 by 12,,,
,,,,,," Phuket, Thailand",,4.06 by 17,,,
,,,,Boat,," Phuket, Thailand",,3.78 by 9,,,
,,,,,, Thailand,,4.15 by 13,,,
,,,,,, Thailand,,4.14 by 7,,,
,,,,,," Khoa Lak, Thailand",,4.29 by 7,,,
,,,,,," Phangnga, Twin Peaks, Thailand",,4.33 by 6,,,
,,,,,," Phangnga, Thailand",,5.00 by 2,,,
Plenty To See,105.5,,,Boat,," Phangnga, Thailand",105.5,4.60 by 5,,,
Plenty To See,,Sand,,Boat,, Thailand,,4.38 by 8,,,
Plenty To See,105.5,Sand,,Boat,," Phangnga, Thailand",150,4.33 by 3,,,
,,,,,," Phangnga, Hin Phae, Thailand",,4.17 by 6,,,
,,,,,," Phangnga, Thailand",,4.29 by 7,,,
Plenty To See,,,,,, Thailand,,4.18 by 17,,,
,,,,,," Phangnga, Atlantis Wreck, Thailand",,4.00 by 3,,,
Plenty To See,105.5,Sand,,Boat,," Phangnga, Hin Pusa, Thailand",115.5,4.17 by 6,,,
,,,,,," Phangnga, Gorilla Bay, Thailand",,,,,
,,,,,," Phangnga, Rocky Point, Thailand",,4.00 by 2,,,
,,,,,," Phangnga, Thailand",,4.40 by 5,,,
,,,,,," Phangnga, Thailand",,4.60 by 5,,,
,,,,,," Phangnga, Thailand",,4.00 by 2,,,
,,,,,," Phangnga, Thailand",,4.00 by 3,,,
,,,,,," Phangnga, Thailand",,5.00 by 1,,,
,,,,,," Phangnga, Thailand",,4.50 by 2,,,
Plenty To See,95.5,Sand,,Boat,," Phangnga, Thailand",95.5,4.40 by 5,,,
Plenty To See,95.5,Sand,,Boat,," Sipadan Island, Phangnga, Thailand",135.5,5.00 by 3,,,
,,,,,," Phang Nga, Thailand",,5.00 by 6,,,
,,,,,, India,,,,,
,,,,,, Maldives,,,,,
,,,,,, Israel,,4.17 by 6,,,
Might See Something,85.5,Sand,,Shore,, Egypt,33,4.75 by 4,,,73
Plenty To See,,,,,," Sinai, Egypt",150,4.30 by 23,,,
,,,,,, South Africa,,4.00 by 1,,,
Might See Something,,,,,," Pozzuoli/naples/italy, Italy",,4.00 by 2,,,
Big Animals,,,,Boat,," Cairns, Queensland, Australia",,4.62 by 8,,,
,,,,,, Denmark,,3.00 by 1,,,
,,,,,," Tynaarlo, Netherlands",,3.00 by 1,,,
,,,,,, Switzerland,,,,,
,,,,,, Switzerland,,,,,
,,,,,," Gelderland, Netherlands",,,,,
,,,,,," Gelderland, Netherlands",,,,,
,,,,,," Gelderland, Netherlands",,3.50 by 2,,,
,,,,,," Gelderland, Netherlands",,3.50 by 2,,,
,,,,,, Netherlands,,3.00 by 1,,,
